scenario_id,description,attack_type,attack_template,time_series_type,magnitude_category,duration_category,magnitude_value,duration_value,attack_start,attack_end,attack_duration,detected,correct_detection,detected_start,detected_end,detection_score,max_deviation,avg_deviation,tp,tn,fp,fn,precision,recall,f1,fpr,accuracy
1,WEAK PULSE: 10% for 1h,PULSE,PULSE,POINT,weak,short,10,1,100,100,1,False,False,-1,-1,0.0,0.07737982138401822,0.07737982138401822,0,5999,0,1,0.0,0.0,0.0,0.0,0.9998333333333334
2,WEAK PULSE: 10% for 2h,PULSE,PULSE,POINT,weak,short,10,2,160,161,2,False,False,-1,-1,0.0,0.050824581527201707,0.04573076686712163,0,5998,0,2,0.0,0.0,0.0,0.0,0.9996666666666667
3,WEAK PULSE: 14% for 1h,PULSE,PULSE,POINT,weak,short,14,1,220,220,1,True,True,220,5989,5.077007709167897,0.18094744579454103,0.18094744579454103,1,230,5769,0,0.0001733102253032929,1.0,0.0003465603881476348,0.9616602767127854,0.0385
4,WEAK PULSE: 14% for 2h,PULSE,PULSE,POINT,weak,short,14,2,280,281,2,False,False,-1,-1,0.0,0.11696606816601629,0.11092479366588115,0,5998,0,2,0.0,0.0,0.0,0.0,0.9996666666666667
5,WEAK PULSE: 19% for 1h,PULSE,PULSE,POINT,weak,short,19,1,340,340,1,True,True,340,5989,5.077010867714866,0.15615575028075224,0.15615575028075224,1,350,5649,0,0.00017699115044247788,1.0,0.00035391966023712616,0.941656942823804,0.0585
6,WEAK PULSE: 19% for 2h,PULSE,PULSE,POINT,weak,short,19,2,400,401,2,True,True,400,5989,5.076333179371422,0.16385606112792273,0.15413385672098512,2,410,5588,0,0.00035778175313059033,1.0,0.000715307582260372,0.9316438812937646,0.06866666666666667
7,MEDIUM PULSE: 30% for 1h,PULSE,PULSE,POINT,medium,short,30,1,460,460,1,True,True,460,5989,5.064026815971944,0.17382794901047505,0.17382794901047505,1,470,5529,0,0.00018083182640144665,1.0,0.0003615982643283312,0.9216536089348225,0.0785
8,MEDIUM PULSE: 30% for 2h,PULSE,PULSE,POINT,medium,short,30,2,520,521,2,True,True,520,5989,5.073321758712686,0.22823276002893977,0.21066170436844212,2,530,5468,0,0.00036563071297989033,1.0,0.0007309941520467837,0.9116372124041348,0.08866666666666667
9,MEDIUM PULSE: 50% for 1h,PULSE,PULSE,POINT,medium,short,50,1,580,580,1,True,True,580,580,300.0,0.6092346875047945,0.6092346875047945,1,5999,0,0,1.0,1.0,1.0,0.0,1.0
10,MEDIUM PULSE: 50% for 2h,PULSE,PULSE,POINT,medium,short,50,2,640,641,2,True,True,560,5989,5.079676515748543,0.378811962597988,0.3758138354220759,2,570,5428,0,0.00036832412523020257,1.0,0.0007363770250368188,0.9049683227742581,0.09533333333333334
11,MEDIUM PULSE: 100% for 1h,PULSE,PULSE,POINT,medium,short,100,1,700,700,1,True,True,700,700,300.0,1.0053703881543292,1.0053703881543292,1,5999,0,0,1.0,1.0,1.0,0.0,1.0
12,MEDIUM PULSE: 100% for 2h,PULSE,PULSE,POINT,medium,short,100,2,760,761,2,True,True,760,761,6.932014196831462,0.6932014196831462,0.6754122868410067,2,5998,0,0,1.0,1.0,1.0,0.0,1.0
13,STRONG PULSE: 200% for 1h,PULSE,PULSE,POINT,strong,short,200,1,820,820,1,True,True,820,820,14.128527788371127,1.4128527788371126,1.4128527788371126,1,5999,0,0,1.0,1.0,1.0,0.0,1.0
14,STRONG PULSE: 200% for 2h,PULSE,PULSE,POINT,strong,short,200,2,880,881,2,True,True,880,881,13.80704813245979,1.3807048132459792,1.3350653033795616,2,5998,0,0,1.0,1.0,1.0,0.0,1.0
15,STRONG PULSE: 400% for 1h,PULSE,PULSE,POINT,strong,short,400,1,940,940,1,True,True,940,940,36.76700377878512,3.676700377878512,3.676700377878512,1,5999,0,0,1.0,1.0,1.0,0.0,1.0
16,STRONG PULSE: 400% for 2h,PULSE,PULSE,POINT,strong,short,400,2,1000,1001,2,True,True,1000,1001,5.719569917615643,2.4865009796970723,2.4085967602402003,2,5998,0,0,1.0,1.0,1.0,0.0,1.0
17,STRONG PULSE: 900% for 1h,PULSE,PULSE,POINT,strong,short,900,1,1060,1060,1,True,True,1060,1060,7.224719895935548,7.504006205739232,7.504006205739232,1,5999,0,0,1.0,1.0,1.0,0.0,1.0
18,STRONG PULSE: 900% for 2h,PULSE,PULSE,POINT,strong,short,900,2,1120,1121,2,True,True,1120,1121,6.020599913279624,6.0961763146957795,5.976425478139305,2,5998,0,0,1.0,1.0,1.0,0.0,1.0
19,WEAK SCALING: 10% for 1h,SCALING,SCALING,COLLECTIVE,weak,short,10,1,1180,1180,1,True,True,560,5989,5.077763064492963,0.0903732846416605,0.0903732846416605,1,570,5429,0,0.00018416206261510129,1.0,0.00036825630638924695,0.904984164027338,0.09516666666666666
20,WEAK SCALING: 10% for 3h,SCALING,SCALING,COLLECTIVE,weak,short,10,3,1240,1242,3,True,True,560,5989,5.0741587793977665,0.08236198480708201,0.05997334105049087,3,570,5427,0,0.0005524861878453039,1.0,0.0011043622308117063,0.904952476238119,0.0955
21,WEAK SCALING: 10% for 6h,SCALING,SCALING,COLLECTIVE,weak,medium,10,6,1300,1305,6,True,True,560,5989,4.679986557349842,0.042511527988936315,0.022694109841336536,6,570,5424,0,0.0011049723756906078,1.0,0.002207505518763797,0.9049049049049049,0.096
22,WEAK SCALING: 10% for 12h,SCALING,SCALING,COLLECTIVE,weak,medium,10,12,1360,1371,12,True,True,560,5989,5.0820850610850234,0.17557558453029576,0.06989893238237656,12,570,5418,0,0.0022099447513812156,1.0,0.004410143329658214,0.9048096192384769,0.097
23,WEAK SCALING: 10% for 24h,SCALING,SCALING,COLLECTIVE,weak,long,10,24,1420,1443,24,True,True,560,5989,5.066453617631121,0.16388613266089558,0.051161408971338675,24,570,5406,0,0.004419889502762431,1.0,0.0088008800880088,0.9046184738955824,0.099
24,WEAK SCALING: 10% for 36h,SCALING,SCALING,COLLECTIVE,weak,long,10,36,1480,1515,36,True,True,560,5989,5.076498626603107,0.1675810019549122,0.04216442090899762,36,570,5394,0,0.0066298342541436465,1.0,0.013172338090010978,0.9044265593561368,0.101
25,WEAK SCALING: 14% for 1h,SCALING,SCALING,COLLECTIVE,weak,short,14,1,1540,1540,1,True,True,560,5989,5.080369888808383,0.24090315703900966,0.24090315703900966,1,570,5429,0,0.00018416206261510129,1.0,0.00036825630638924695,0.904984164027338,0.09516666666666666
26,WEAK SCALING: 14% for 3h,SCALING,SCALING,COLLECTIVE,weak,short,14,3,1600,1602,3,True,True,560,5989,5.076820626706364,0.14427970401221302,0.13553218525846122,3,570,5427,0,0.0005524861878453039,1.0,0.0011043622308117063,0.904952476238119,0.0955
27,WEAK SCALING: 14% for 6h,SCALING,SCALING,COLLECTIVE,weak,medium,14,6,1660,1665,6,True,True,560,5989,5.073984318957468,0.15197968707317,0.1193576081018235,6,570,5424,0,0.0011049723756906078,1.0,0.002207505518763797,0.9049049049049049,0.096
28,WEAK SCALING: 14% for 12h,SCALING,SCALING,COLLECTIVE,weak,medium,14,12,1720,1731,12,True,True,560,5989,5.0588760660896295,0.14910447935852966,0.07123093792946382,12,570,5418,0,0.0022099447513812156,1.0,0.004410143329658214,0.9048096192384769,0.097
29,WEAK SCALING: 14% for 24h,SCALING,SCALING,COLLECTIVE,weak,long,14,24,1780,1803,24,True,True,560,5989,5.058159701178796,0.21406558316035462,0.06922921448090057,24,570,5406,0,0.004419889502762431,1.0,0.0088008800880088,0.9046184738955824,0.099
30,WEAK SCALING: 14% for 36h,SCALING,SCALING,COLLECTIVE,weak,long,14,36,1840,1875,36,True,True,560,5989,5.073601059296493,0.2809486918636146,0.1008813237136973,36,570,5394,0,0.0066298342541436465,1.0,0.013172338090010978,0.9044265593561368,0.101
