"C","Real-Time Hourly System Load Report"
"C","Filename: rt_hourlysysload_20250916_20250930.csv"
"C","Report for: 09/16/2025 - 09/30/2025"
"C","Report generated: 10/01/2025 16:34:03 EDT"
"H","Date","Hour Ending","Total Load"
"H","Date","HE","MWh"
"D","09/16/2025","01",11036.98
"D","09/16/2025","02",10664.25
"D","09/16/2025","03",10619.15
"D","09/16/2025","04",10475.77
"D","09/16/2025","05",10641.11
"D","09/16/2025","06",10980.57
"D","09/16/2025","07",11934.05
"D","09/16/2025","08",12300.29
"D","09/16/2025","09",11737.54
"D","09/16/2025","10",10865.68
"D","09/16/2025","11",10330.56
"D","09/16/2025","12",10262.65
"D","09/16/2025","13",10441.04
"D","09/16/2025","14",10712.47
"D","09/16/2025","15",10905.8
"D","09/16/2025","16",11825.56
"D","09/16/2025","17",12680.37
"D","09/16/2025","18",13836.05
"D","09/16/2025","19",14512.55
"D","09/16/2025","20",14691.55
"D","09/16/2025","21",14147.1
"D","09/16/2025","22",13222.77
"D","09/16/2025","23",12130.67
"D","09/16/2025","24",11374.17
"D","09/17/2025","01",10809.7
"D","09/17/2025","02",10590.16
"D","09/17/2025","03",10255.31
"D","09/17/2025","04",10162.71
"D","09/17/2025","05",10351.67
"D","09/17/2025","06",11027.6
"D","09/17/2025","07",12183.66
"D","09/17/2025","08",12302.0
"D","09/17/2025","09",11886.51
"D","09/17/2025","10",11259.32
"D","09/17/2025","11",10783.08
"D","09/17/2025","12",10874.63
"D","09/17/2025","13",10753.84
"D","09/17/2025","14",10899.36
"D","09/17/2025","15",11307.6
"D","09/17/2025","16",11911.81
"D","09/17/2025","17",12880.84
"D","09/17/2025","18",13906.5
"D","09/17/2025","19",14600.43
"D","09/17/2025","20",14806.69
"D","09/17/2025","21",14313.31
"D","09/17/2025","22",13482.02
"D","09/17/2025","23",12432.02
"D","09/17/2025","24",11612.93
"D","09/18/2025","01",11360.75
"D","09/18/2025","02",11077.92
"D","09/18/2025","03",10963.36
"D","09/18/2025","04",10842.03
"D","09/18/2025","05",10837.95
"D","09/18/2025","06",11337.78
"D","09/18/2025","07",12230.2
"D","09/18/2025","08",12824.42
"D","09/18/2025","09",12347.98
"D","09/18/2025","10",11641.12
"D","09/18/2025","11",11256.59
"D","09/18/2025","12",11018.24
"D","09/18/2025","13",10950.21
"D","09/18/2025","14",11212.72
"D","09/18/2025","15",11603.73
"D","09/18/2025","16",12472.28
"D","09/18/2025","17",13854.74
"D","09/18/2025","18",15314.73
"D","09/18/2025","19",15753.19
"D","09/18/2025","20",15739.2
"D","09/18/2025","21",15128.91
"D","09/18/2025","22",14197.38
"D","09/18/2025","23",13059.64
"D","09/18/2025","24",11912.88
"D","09/19/2025","01",11077.14
"D","09/19/2025","02",10517.0
"D","09/19/2025","03",10163.32
"D","09/19/2025","04",10177.11
"D","09/19/2025","05",10361.12
"D","09/19/2025","06",10853.24
"D","09/19/2025","07",11848.75
"D","09/19/2025","08",12295.66
"D","09/19/2025","09",11737.71
"D","09/19/2025","10",11337.26
"D","09/19/2025","11",11224.45
"D","09/19/2025","12",11211.93
"D","09/19/2025","13",11282.06
"D","09/19/2025","14",11314.54
"D","09/19/2025","15",11737.05
"D","09/19/2025","16",12301.98
"D","09/19/2025","17",13595.04
"D","09/19/2025","18",14924.93
"D","09/19/2025","19",15173.48
"D","09/19/2025","20",14866.8
"D","09/19/2025","21",14202.26
"D","09/19/2025","22",13340.88
"D","09/19/2025","23",12346.4
"D","09/19/2025","24",11534.84
"D","09/20/2025","01",10670.54
"D","09/20/2025","02",9947.12
"D","09/20/2025","03",9604.26
"D","09/20/2025","04",9378.5
"D","09/20/2025","05",9346.27
"D","09/20/2025","06",9540.08
"D","09/20/2025","07",10181.74
"D","09/20/2025","08",10248.91
"D","09/20/2025","09",9471.33
"D","09/20/2025","10",8654.38
"D","09/20/2025","11",8294.04
"D","09/20/2025","12",7937.65
"D","09/20/2025","13",7867.51
"D","09/20/2025","14",8007.74
"D","09/20/2025","15",8310.21
"D","09/20/2025","16",9091.55
"D","09/20/2025","17",10500.89
"D","09/20/2025","18",12049.81
"D","09/20/2025","19",12863.9
"D","09/20/2025","20",12920.58
"D","09/20/2025","21",12452.27
"D","09/20/2025","22",11820.32
"D","09/20/2025","23",11068.91
"D","09/20/2025","24",10557.23
"D","09/21/2025","01",10023.63
"D","09/21/2025","02",9637.79
"D","09/21/2025","03",9592.04
"D","09/21/2025","04",9481.98
"D","09/21/2025","05",9472.12
"D","09/21/2025","06",9638.4
"D","09/21/2025","07",9775.58
"D","09/21/2025","08",9747.2
"D","09/21/2025","09",9430.58
"D","09/21/2025","10",8754.24
"D","09/21/2025","11",8287.6
